city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,cost rank
Seattle,3,2.25,1240,1240,3.0,2008,3
Bellevue,4,2.25,2060,1320,1.0,1962,3
Seattle,3,2.5,1940,970,1.0,1948,3
Bellevue,4,2.25,2160,2160,1.0,1969,3
Kirkland,4,2.5,2840,2840,2.0,2001,3
Seattle,3,1.5,1470,1470,2.0,1907,3
Redmond,3,2.5,2650,2650,2.0,1994,3
Enumclaw,3,2.0,2540,2540,1.0,2007,3
Kirkland,4,2.25,3070,3070,2.0,1970,3
Seattle,3,3.25,1530,1530,3.0,2006,3
Seattle,4,3.25,2520,1550,1.5,1931,3
Bellevue,4,2.5,2270,1500,1.0,1972,3
Seattle,4,2.5,2310,2310,2.0,2008,3
Bellevue,4,3.0,2620,1870,1.0,1956,3
Redmond,4,2.5,2496,2496,2.0,1998,3
Seattle,6,2.0,1670,900,1.0,1911,3
Sammamish,3,2.75,3200,3200,2.0,2004,4
Redmond,4,2.5,2440,2440,2.0,1987,4
Redmond,3,2.5,2320,2320,1.0,2008,4
Redmond,4,2.5,2650,2650,2.0,2012,4
Newcastle,3,3.5,3390,3040,2.0,2012,4
Seattle,4,2.25,2160,1080,1.0,1947,4
Sammamish,4,2.75,3010,3010,2.0,1996,4
Seattle,4,2.5,2590,2590,2.0,2001,4
Seattle,4,2.25,2370,1440,1.0,1959,4
Seattle,5,2.0,3530,3530,1.5,1925,4
Seattle,2,2.5,2540,2540,2.0,2004,4
Mercer Island,5,3.0,3330,2610,2.0,1977,4
Bellevue,3,2.5,2430,2430,2.0,1989,4
Newcastle,5,3.5,3990,3990,2.0,2001,4
Bellevue,4,3.5,3820,3280,2.0,1990,4
Seattle,4,4.5,4750,3600,2.0,2005,4
Seattle,3,3.5,3870,2760,2.0,2002,4
Issaquah,5,4.75,5990,4050,2.0,2002,4
Auburn,2,1.0,1020,1020,1.0,1948,1
Auburn,3,2.25,1230,1230,1.5,1913,1
Burien,2,1.0,860,860,1.0,1949,1
Burien,3,1.0,1150,1150,1.0,1953,1
Auburn,3,1.0,960,960,1.0,1960,1
Auburn,2,2.0,1680,1680,2.0,1910,1
Maple Valley,2,2.0,1310,1310,2.0,2004,1
Renton,3,1.0,1300,1300,1.0,1960,1
Auburn,3,1.75,1880,1330,1.0,1985,1
Seattle,1,1.0,800,680,1.0,1931,1
Renton,4,2.0,2200,1100,1.0,1979,1
Des Moines,3,2.0,1470,1470,1.0,1987,1
Kent,4,2.0,1890,1890,2.0,1997,1
Seattle,2,1.0,840,840,1.0,1948,2
Renton,3,2.5,1820,1820,2.0,1983,2
Maple Valley,3,2.25,1860,1860,2.0,1995,2
Burien,3,2.0,1510,1510,1.0,1942,2
Shoreline,4,3.0,2240,2240,2.0,1992,2
Auburn,3,2.5,2570,2570,2.0,2014,2
Seattle,4,2.5,2040,2040,2.0,1996,2
Vashon,2,1.0,1240,1000,1.0,1943,2
Renton,5,2.25,2290,1290,1.0,1973,2
Seattle,3,2.25,1940,1100,1.0,1981,2
Maple Valley,4,2.5,2550,2550,2.0,2005,2
North Bend,4,2.5,1890,1230,1.0,1978,2
Seattle,3,1.5,1520,1020,1.0,1949,2
Seattle,3,1.0,1160,1160,1.5,1910,2
Seattle,3,1.0,1500,900,1.0,1925,2
North Bend,4,2.5,2320,2320,2.0,1997,2
Shoreline,4,2.25,2420,1400,1.0,1973,2
Seattle,3,1.0,1430,1430,1.5,1950,2
Sammamish,3,1.0,1460,1460,1.5,2002,2
Seattle,2,1.0,1260,690,1.0,1925,2
Renton,5,3.0,2630,1670,2.0,2013,2
Shoreline,5,2.75,2280,1300,1.0,1959,2
Renton,3,2.5,2540,2540,2.0,1999,2
Woodinville,3,2.25,1790,1290,1.0,1967,2
Bothell,5,3.0,3110,1790,1.0,1977,2
Kirkland,3,2.75,1910,1160,1.0,1979,2
Carnation,4,2.5,2040,2040,2.0,1994,2
Maple Valley,4,2.5,2510,2510,2.0,2006,2
Seattle,3,2.0,1430,980,1.0,1947,2
Burien,4,2.25,2450,1650,1.0,1954,2
Issaquah,3,2.25,1470,1470,2.0,1985,2
Sammamish,3,1.5,1440,1440,1.0,1975,2
Bothell,3,2.5,1870,1870,2.0,2003,2
Bothell,3,1.75,1780,1210,1.0,1976,2
Seattle,4,1.0,2080,1040,1.0,1941,2
Seattle,4,3.0,1630,1110,1.0,1990,2
Bellevue,4,2.25,2170,1300,1.0,1976,2
Seattle,4,2.0,2120,1060,1.0,1940,2
Seattle,4,1.0,1360,1360,1.5,1917,3
Seattle,3,2.25,1750,1750,3.0,2001,3
Seattle,5,2.5,2200,1420,1.5,1916,3
Renton,4,2.75,3260,3260,2.0,2013,3
Seattle,3,3.5,1890,1640,2.0,1999,3
Newcastle,3,2.75,3290,3290,2.0,1993,3
Newcastle,4,2.5,2620,2620,2.0,1996,3
Kirkland,3,2.5,1850,1850,2.0,1989,3
Seattle,3,2.5,2440,2440,2.0,2014,3
Sammamish,4,2.5,2090,2090,2.0,1986,3
Seattle,2,1.75,1760,880,1.0,1930,3
Redmond,4,2.5,3040,3040,2.0,2003,3
Issaquah,4,3.25,3030,3030,2.0,1988,3
Seattle,4,2.25,2870,2220,2.0,1926,3
Bellevue,5,2.75,3260,1630,1.0,1964,3
Sammamish,4,2.5,3290,3290,2.0,2003,4
Snoqualmie,3,3.5,3690,3690,2.0,2001,4
Renton,4,3.25,3940,3440,2.0,2000,4
Seattle,6,1.75,2380,2380,2.0,1917,4
Redmond,2,2.5,2770,2770,2.0,2006,4
Redmond,4,2.5,2970,2970,2.0,2014,4
Seattle,3,2.25,2140,2140,2.0,1905,4
Lake Forest Park,4,1.75,2050,1450,1.0,1974,4
Sammamish,4,2.75,3150,3150,2.0,2004,4
Sammamish,3,3.25,3240,3240,2.0,2001,4
Bellevue,5,2.25,2780,2780,2.0,1978,4
Seattle,3,2.25,2870,2250,2.0,1995,4
Woodinville,4,3.0,3740,3060,2.0,1988,4
Mercer Island,3,2.25,2060,1610,1.0,1975,4
Mercer Island,4,3.5,2970,2340,2.0,1997,4
Seattle,3,3.25,2660,2170,2.0,2003,4
Sammamish,4,2.75,3730,3730,2.0,2012,4
Mercer Island,4,2.0,3140,2040,1.0,1959,4
Des Moines,3,3.25,3050,1650,1.0,1962,4
Kirkland,4,2.5,3360,3360,2.0,1988,4
Mercer Island,3,2.75,2470,2470,2.0,1960,4
Seattle,4,2.25,2870,1980,1.5,1905,4
Bellevue,4,4.5,3850,3000,2.0,1998,4
Bellevue,3,3.0,4910,4000,2.0,1989,4
Woodinville,6,4.25,6900,4820,2.0,2002,4
Seattle,5,3.25,3240,2500,1.5,1939,4
Bellevue,7,5.5,6630,4930,2.0,2004,4
Seattle,5,4.0,3366,2966,2.5,1937,4
Bellevue,4,3.5,4410,4410,2.0,1989,4
Seattle,5,3.25,3840,2750,3.0,2008,4
Mercer Island,7,3.5,4640,2860,2.0,1965,4
Seattle,2,1.0,1230,830,2.0,1948,2
Bellevue,4,1.5,1550,1000,1.0,1956,2
Seattle,4,1.75,1780,890,1.0,1943,2
Redmond,4,2.25,2330,2330,2.0,1986,3
Seattle,3,1.75,2610,1680,1.5,1934,4
Seattle,4,2.0,2160,2160,1.5,1928,4
Redmond,3,2.5,3290,3290,2.0,2000,4
SeaTac,4,2.5,2380,2380,2.0,1999,2
Renton,4,2.5,2580,2580,2.0,2004,2
Bellevue,4,2.5,2040,1420,1.0,1963,3
Issaquah,4,2.5,2090,2090,2.0,1990,3
Kirkland,4,2.5,2370,2370,2.0,1966,3
Bellevue,4,2.5,2130,1230,1.0,1963,4
Seattle,3,1.75,2870,1840,1.5,1907,4
Bellevue,4,2.5,2810,2810,2.0,1989,4
Kirkland,4,3.5,3530,2570,2.0,1987,4
Seattle,3,1.5,1270,1270,2.0,2012,1
Tukwila,3,1.0,1200,1200,1.0,1943,1
Des Moines,5,2.5,1740,1740,1.0,1959,1
Covington,3,1.5,1090,1090,1.0,1968,1
Seattle,2,1.75,880,880,1.0,1945,1
SeaTac,3,2.0,1340,1340,1.0,1931,1
Federal Way,3,1.75,1580,1580,1.0,1967,1
Kent,3,2.25,1650,1650,2.0,1985,1
Seattle,2,1.0,870,870,1.0,1940,1
Federal Way,6,3.0,2180,2180,2.0,1980,1
Tukwila,4,1.75,1450,1180,1.5,1962,1
Renton,3,1.0,1170,1170,1.0,1968,1
Covington,3,1.75,1230,1230,1.0,1984,1
Kent,3,1.0,1000,1000,1.0,1968,1
Covington,2,1.75,1500,1500,1.0,1963,1
Covington,3,2.0,1310,1310,1.0,1990,1
Kent,4,2.5,2000,2000,2.0,1989,1
Federal Way,3,1.75,1390,1390,1.0,1962,1
Federal Way,3,1.75,1760,1760,1.0,1966,1
Seattle,3,1.0,1620,1620,1.5,1928,1
Kent,3,1.75,1840,1240,1.0,1976,1
Kent,4,2.5,2540,2540,2.0,1977,1
Shoreline,2,1.0,1180,1180,1.0,1949,1
Shoreline,3,1.0,1080,1080,1.0,1952,1
North Bend,2,1.0,1010,1010,1.0,1925,1
Kent,3,2.5,1660,1660,2.0,2003,1
Seattle,3,2.75,1100,780,2.0,2008,1
Shoreline,3,1.0,1150,990,1.0,1932,1
Tukwila,2,2.0,1610,1610,2.0,1930,1
Shoreline,3,1.0,880,880,1.5,1946,1
Shoreline,2,1.0,1060,1060,1.0,1951,1
Covington,4,2.5,2620,2620,2.0,2008,2
Kent,4,2.5,1840,1840,2.0,2004,2
Kent,3,2.5,2540,2540,2.0,2006,2
Federal Way,5,3.0,2300,2300,2.0,2013,2
Auburn,3,2.5,2280,2280,2.0,1998,2
Covington,4,2.25,2010,2010,2.0,1975,2
Renton,4,1.75,2110,1170,1.0,1975,2
Woodinville,3,1.0,1030,1030,1.0,1969,2
Auburn,3,2.5,2242,2242,2.0,2011,2
Kirkland,4,1.5,1150,1150,1.5,1970,2
Renton,3,1.75,1310,1310,1.0,1993,2
Seattle,3,1.5,1420,1140,2.0,2008,2
Seattle,3,1.0,1140,1140,2.0,1904,2
Seattle,3,3.75,1950,1360,1.0,1959,2
Kent,3,2.5,2110,2110,2.0,1989,2
Burien,3,1.75,1270,880,1.0,1950,2
Bothell,3,1.0,1270,1270,1.0,1955,2
Issaquah,3,2.0,2420,1210,1.0,1949,2
Renton,7,3.0,2800,1400,1.0,1963,2
Shoreline,3,1.75,1660,1660,1.5,1957,2
Seattle,4,1.5,1720,1720,1.0,1953,2
Kent,3,2.5,2430,2430,2.0,1997,2
Seattle,2,1.5,940,940,2.0,2009,2
Bellevue,4,2.0,1940,1940,1.0,1962,2
Renton,4,2.5,1870,1870,2.0,1990,2
Seattle,2,1.0,880,880,1.0,1950,2
Kent,4,2.75,2700,2700,2.0,1984,2
Seattle,3,3.25,1630,1630,3.0,2007,2
Lake Forest Park,3,1.75,1880,1880,1.0,1959,2
Seattle,3,1.75,2390,1350,1.0,1955,2
Seattle,3,1.75,1560,810,1.0,1940,2
Duvall,4,1.75,1700,1340,1.5,1965,2
Seattle,2,0.75,1020,1020,2.0,2009,2
Seattle,3,1.0,1830,1200,1.0,1960,2
Seattle,3,2.25,1520,1520,3.0,2004,2
Seattle,4,2.5,2170,1350,1.0,1955,2
Seattle,3,2.0,1200,880,1.0,1937,2
Redmond,3,2.25,1580,1180,1.0,1992,2
Sammamish,3,1.75,1300,1300,1.0,1981,2
Kirkland,3,1.75,1560,1250,1.0,1983,2
Renton,4,2.5,2520,2520,2.0,1990,2
Kirkland,3,1.75,1600,1050,1.0,1977,2
Seattle,4,2.5,1850,1230,1.0,1930,2
Kirkland,3,2.25,1780,1340,1.0,1972,2
Seattle,4,1.75,2160,1260,1.0,1942,2
Bellevue,4,1.75,2120,1060,1.0,1956,2
Seattle,3,2.0,1890,1430,2.0,2012,2
Bothell,4,2.5,2000,2000,2.0,2003,2
Renton,3,2.5,2150,2150,2.0,1992,2
Seattle,3,1.75,1800,900,1.0,1905,2
Woodinville,3,2.25,2110,2110,2.0,1978,2
Seattle,3,2.25,1470,1080,2.0,1984,2
Issaquah,4,2.5,1540,1540,2.0,2014,2
Shoreline,4,2.5,1830,1540,1.0,1973,2
Burien,3,2.0,2950,2310,2.0,1918,2
Issaquah,3,2.25,1630,1630,2.0,2005,2
Bellevue,6,2.5,2890,1630,1.0,1977,3
Seattle,5,3.25,2910,2040,2.0,2013,3
Redmond,3,1.75,1840,1840,1.0,1964,3
Bellevue,3,2.5,1900,1900,2.0,1988,3
Newcastle,3,2.5,1960,1960,2.0,1989,3
Sammamish,4,2.5,2300,2300,2.0,1990,3
Seattle,3,2.25,1300,1000,2.0,2006,3
Seattle,4,2.0,1730,1060,1.0,1924,3
Seattle,3,2.5,2060,1330,1.0,1976,3
Seattle,3,2.5,1640,1640,3.0,2009,3
Bellevue,4,2.5,3220,3220,1.5,1966,3
Sammamish,3,2.5,2260,2260,2.0,1987,3
Bellevue,6,2.75,2660,1550,1.0,1962,3
Seattle,5,2.0,2130,1270,1.5,1926,3
Snoqualmie,4,3.5,2960,2960,2.0,2014,3
Seattle,3,2.5,1500,1200,2.0,2014,3
Issaquah,4,2.5,2400,2400,2.0,1990,3
Seattle,3,3.25,1980,1980,3.0,1987,3
Seattle,5,3.0,3190,1890,1.0,2013,3
Seattle,3,2.5,3310,2440,2.0,2008,3
Sammamish,4,2.5,2810,2810,2.0,1982,3
Issaquah,4,2.5,2650,1680,1.0,1960,4
Woodinville,4,2.5,3420,3420,2.0,1988,4
Seattle,4,2.25,2270,1340,1.0,1954,4
Seattle,4,2.5,2300,2300,2.0,1999,4
Issaquah,4,3.5,3910,2490,2.0,1987,4
Seattle,4,3.0,3520,1980,1.0,1954,4
Mercer Island,3,2.25,2380,1450,1.0,1972,4
Woodinville,5,2.5,4470,4470,2.5,1984,4
Redmond,4,2.5,3030,3030,2.0,1998,4
Issaquah,4,3.25,3440,3440,2.0,2006,4
Bellevue,5,3.5,3500,2570,2.0,1996,4
Mercer Island,4,2.5,3160,3160,2.0,1965,4
Seattle,4,3.75,3520,2200,1.5,1913,4
Seattle,4,2.5,4570,4570,2.0,1948,4
Renton,2,1.0,690,690,1.0,1942,1
Des Moines,3,1.5,1010,1010,1.0,1962,1
Enumclaw,3,1.0,1000,1000,1.0,1991,1
Federal Way,3,1.0,1050,1050,1.0,1983,1
Seattle,3,1.0,1410,1410,1.0,1951,1
Seattle,2,1.0,970,970,1.0,1956,1
Federal Way,3,1.5,1330,1330,1.0,1968,1
Seattle,3,1.0,880,880,1.0,1945,1
Federal Way,3,1.75,1330,1330,1.0,1968,1
Seattle,4,1.75,1850,1270,1.0,1944,1
Maple Valley,4,2.75,2000,2000,2.0,1997,1
Kent,3,2.25,1670,1190,1.0,1977,1
Seattle,2,2.0,1180,1180,1.0,1940,1
Des Moines,3,1.0,1490,1120,1.0,1969,1
Woodinville,3,1.0,990,990,1.0,1968,1
Auburn,3,2.5,1970,1090,2.0,1988,1
Seattle,2,1.0,650,650,1.0,1950,1
Shoreline,3,1.0,2150,2150,1.0,1954,2
Seattle,2,1.0,750,750,1.0,1941,2
Shoreline,4,2.0,1310,1310,1.0,1953,2
Kent,4,2.25,2210,2210,2.0,1968,2
Federal Way,4,1.75,2700,1380,1.0,1958,2
Seattle,5,2.5,2360,1180,1.0,1962,2
Kent,4,2.5,2510,1610,1.0,1978,2
Burien,3,1.5,1460,1460,1.0,1955,2
Shoreline,3,1.0,850,850,1.0,1948,2
Renton,3,1.75,2000,1300,1.0,1968,2
Seattle,2,1.0,900,900,1.0,1956,2
Shoreline,3,1.0,1480,970,1.0,1963,2
Seattle,4,2.0,2470,1970,1.5,1948,2
Seattle,3,1.0,1100,720,1.0,1942,2
Kirkland,2,1.75,1210,1210,1.0,1982,2
Seattle,4,1.75,1760,1180,1.0,1950,2
Renton,3,1.5,1360,1360,1.0,1966,2
Renton,4,2.5,2090,2090,2.0,1989,2
Auburn,4,3.0,2560,2560,2.0,2004,2
Seattle,2,1.0,740,740,1.0,1922,2
Seattle,2,2.25,930,630,2.0,2007,2
Shoreline,3,1.75,1500,1500,1.0,1957,2
Issaquah,4,1.75,1450,1450,1.0,1960,2
Seattle,2,1.75,1240,1240,1.5,1906,2
Renton,3,1.75,1840,1340,1.0,1977,2
Woodinville,3,1.0,1660,1160,1.0,1978,2
North Bend,3,2.5,1740,1740,2.0,1992,2
Enumclaw,3,2.25,1860,1860,2.0,1963,2
Bellevue,4,1.75,1250,1250,1.0,1959,2
Seattle,3,2.5,1600,1600,2.0,2007,2
Seattle,4,1.75,1540,770,1.0,1943,2
Kent,3,2.5,2590,2590,1.0,1976,2
Woodinville,3,2.5,2970,1510,1.0,1967,2
Sammamish,3,2.0,1230,990,1.0,1984,2
Federal Way,3,2.5,3170,2360,2.0,1995,2
Duvall,3,2.5,2280,2280,2.0,2011,2
Redmond,3,1.75,1070,1070,1.0,1977,2
Issaquah,3,2.5,2140,2140,2.0,2005,2
Issaquah,3,2.5,1930,1930,2.0,1990,2
Seattle,4,1.5,1600,1600,1.5,1946,2
Redmond,4,2.5,1890,1290,1.0,1980,2
Seattle,3,1.75,1520,790,1.0,1948,2
Normandy Park,3,1.75,2000,1480,1.0,1957,2
Renton,4,2.5,2950,2950,2.0,2005,2
Seattle,3,2.25,1430,980,2.0,1996,2
Bellevue,3,1.75,1150,1150,1.0,1959,2
Seattle,3,2.5,1500,900,1.0,1920,2
Bellevue,3,2.0,1300,1300,1.0,1955,3
Seattle,3,2.25,1420,1420,3.0,2006,3
Woodinville,3,1.75,2300,2300,1.0,1984,3
Seattle,2,1.5,1580,1280,1.0,1941,3
Sammamish,3,2.5,2070,2070,2.0,1999,3
Mercer Island,5,2.75,3831,3831,2.0,1959,3
Vashon,2,1.0,2034,1159,1.0,1947,3
Federal Way,4,2.5,4620,4620,2.0,1991,3
Seattle,3,2.25,2400,1440,1.5,1926,3
Vashon,3,2.5,2270,2270,2.0,1998,3
Maple Valley,4,2.5,3190,3190,2.0,2006,3
Sammamish,5,2.75,2730,2080,1.0,1968,3
Lake Forest Park,4,3.25,4690,3680,2.0,1995,3
Bellevue,4,1.75,1740,1740,1.0,1968,3
Seattle,3,1.75,1720,960,1.0,1924,3
Redmond,4,2.5,2450,2450,2.0,1994,3
Woodinville,3,2.5,2410,1820,1.0,1976,3
Issaquah,4,2.5,2050,2050,2.0,2012,3
Redmond,4,2.5,2341,2341,2.0,1997,3
Seattle,2,2.25,2550,1860,2.0,1902,3
Seattle,6,2.75,2840,1420,1.0,1961,3
Mercer Island,4,2.25,2420,2420,2.0,1973,3
Redmond,3,3.5,2300,2300,1.0,2004,3
Seattle,3,1.5,1820,1640,1.5,1946,3
Seattle,4,1.75,2330,1510,1.5,1929,3
Bellevue,3,1.75,2200,1500,1.0,1978,3
Bellevue,4,2.5,2650,2650,2.0,1986,4
Redmond,4,2.5,2440,2440,2.0,2013,4
Redmond,4,3.25,3090,2370,2.0,2004,4
Mercer Island,4,2.75,2610,1760,1.0,1978,4
Issaquah,4,3.5,3190,3190,2.0,2010,4
Seattle,3,3.5,2130,1530,2.0,1908,4
Woodinville,3,2.5,3200,3200,1.0,2000,4
Seattle,3,2.0,2540,1840,1.5,1930,4
Redmond,4,3.5,3920,3920,2.0,1996,4
Seattle,4,3.0,3330,1790,1.0,1958,4
Bellevue,4,2.25,3550,1830,1.0,2010,4
Woodinville,4,2.5,3220,3220,2.0,1996,4
Seattle,4,2.5,3030,3030,3.0,2005,4
Woodinville,4,3.0,3580,3580,1.5,1985,4
Seattle,3,2.25,3060,1810,1.5,1930,4
Woodinville,4,3.75,3820,3820,1.0,1994,4
Bellevue,4,2.5,3220,1680,1.0,1973,4
Redmond,0,0.0,4810,4810,2.0,1990,4
Seattle,5,4.75,6390,4560,2.0,1940,4
Burien,2,1.0,890,890,1.0,1942,1
Auburn,3,1.0,1090,1090,1.0,1969,1
Seattle,1,0.75,930,930,1.0,1941,1
Seattle,2,1.0,1120,1120,1.0,1944,1
Auburn,3,1.0,1320,1320,1.0,1966,1
Auburn,3,2.0,1190,1190,1.0,1995,1
Auburn,3,1.0,1150,1150,1.5,1938,1
Kent,3,1.0,1050,1050,1.0,1958,1
Federal Way,3,1.0,1230,1230,1.0,1965,1
Redmond,3,2.75,2210,2210,2.0,2008,1
Shoreline,3,1.0,1250,1250,1.5,1955,1
Auburn,4,2.0,1570,1570,2.0,1984,1
Auburn,3,2.25,1481,1481,2.0,2012,1
Kent,3,2.0,1410,1410,1.0,1985,1
Kent,3,2.25,1640,1180,1.0,1968,1
Maple Valley,3,2.5,1620,1620,2.0,1989,1
Kent,4,2.25,1830,1830,2.0,1990,1
Kent,3,2.5,1720,1720,2.0,1992,1
Pacific,5,2.5,2025,2025,2.0,2007,1
Des Moines,3,1.5,1580,1140,1.0,1954,1
Seattle,3,1.5,1150,1150,1.0,1951,1
Seattle,2,1.0,2060,1260,1.0,1962,1
Covington,3,2.5,1670,1300,1.0,1990,1
Seattle,2,1.0,770,770,1.0,1927,1
Auburn,4,2.25,2460,2460,1.0,1959,1
Renton,3,1.0,1270,1270,1.0,1958,1
Auburn,7,2.5,1940,1940,2.0,1994,1
Renton,3,1.75,1230,1230,1.0,1966,1
Renton,3,1.0,890,890,1.0,1954,1
Maple Valley,3,2.0,1460,1460,1.0,1995,1
North Bend,2,1.0,780,780,1.0,1930,1
Shoreline,3,1.0,1110,1110,1.0,1979,1
Auburn,3,2.5,1870,1870,2.0,1990,1
Federal Way,3,1.75,1790,1790,1.0,1978,1
Seattle,6,2.0,1900,1200,1.0,1964,2
Seattle,3,1.0,1640,1640,1.5,1942,2
Duvall,3,2.5,1860,1860,2.0,2012,2
Seattle,2,1.0,870,870,1.0,1950,2
Seattle,4,2.0,1780,930,1.5,1918,2
Maple Valley,4,2.5,2000,2000,2.0,1997,2
Seattle,3,2.5,1730,1730,2.0,2014,2
Seattle,2,1.75,1610,1010,1.0,1941,2
Seattle,3,1.0,1150,1150,1.0,1932,2
Shoreline,3,1.0,1010,1010,1.0,1947,2
Seattle,4,1.0,1530,980,1.0,1925,2
North Bend,4,2.0,2020,2020,1.5,1949,2
Seattle,3,2.5,1150,1150,3.0,2007,2
Seattle,3,2.5,1800,1800,2.0,2011,2
Woodinville,3,2.0,1410,1410,1.0,1983,2
Kenmore,3,2.25,1400,1400,2.0,1984,2
Kirkland,5,3.25,3370,3370,2.0,2001,2
Woodinville,3,1.75,1500,1500,1.0,1977,2
Des Moines,4,2.25,2050,1770,2.0,1965,2
Kent,4,2.5,2340,2340,2.0,1993,2
Seattle,2,2.25,1350,1050,2.0,2007,2
Shoreline,3,2.5,2180,1420,1.0,1962,2
Seattle,4,2.25,2000,1650,2.0,1926,2
Kirkland,2,2.5,1590,1590,2.0,1997,2
Newcastle,3,1.5,1250,1250,1.0,1968,2
Kenmore,4,2.25,2100,1290,1.0,1973,2
Seattle,3,2.5,2320,2320,3.0,2009,2
Seattle,2,1.0,1060,1060,1.5,1943,2
Burien,3,1.75,2030,2030,1.0,1953,2
Lake Forest Park,3,1.5,2330,1330,1.0,1954,2
Seattle,4,2.75,2310,1330,1.0,1952,2
Seattle,2,1.0,1380,880,1.0,1931,2
Snoqualmie,3,1.0,1970,1970,1.0,1970,2
Snoqualmie,3,2.5,2420,2420,2.0,1998,2
Kirkland,3,1.75,1640,1640,1.0,1975,3
Issaquah,3,2.5,1860,1860,2.0,1987,3
Seattle,4,2.5,1950,1250,1.5,1910,3
Bellevue,5,2.25,2140,1070,1.0,1962,3
Black Diamond,4,2.75,3110,3110,1.0,1958,3
Issaquah,4,2.5,2030,2030,2.0,1994,3
Bellevue,3,1.75,1900,1900,1.0,1959,3
Seattle,2,0.75,1440,1200,1.0,1914,3
Seattle,3,2.5,1400,1400,3.5,2007,3
Issaquah,2,1.75,1670,1670,1.0,2005,3
Snoqualmie,3,2.5,2380,2380,2.0,2002,3
Seattle,3,2.25,1700,1100,1.5,1924,3
Issaquah,4,2.5,2070,2070,2.0,1996,3
Sammamish,3,2.5,1790,1790,2.0,1989,3
Kirkland,4,2.75,2890,1560,1.0,1973,3
Renton,5,3.0,2790,1500,1.0,1973,3
Kenmore,4,2.75,2720,2720,2.0,2005,3
Seattle,3,1.75,1870,1870,1.0,1958,3
Mercer Island,4,4.0,3570,2860,2.0,2013,3
Issaquah,3,2.25,2680,1570,1.0,1978,3
Redmond,4,2.5,2690,2690,2.0,2001,3
Bellevue,5,2.5,2700,1950,1.0,1955,3
Seattle,3,1.75,1620,1040,1.0,1947,3
Seattle,3,2.75,1850,1850,1.0,1953,3
Seattle,4,2.75,1910,1420,1.0,1940,3
Seattle,4,2.5,2180,1420,1.5,1926,3
Seattle,4,1.5,1880,1440,1.0,1954,3
Seattle,5,2.0,2000,1280,1.5,1908,3
Sammamish,4,2.5,2770,2770,2.0,2004,3
Redmond,3,2.5,2610,2610,2.0,1996,4
Redmond,4,2.5,2490,2490,2.0,2000,4
Redmond,5,2.5,2980,2980,2.0,2006,4
Issaquah,4,2.5,3000,3000,2.0,1995,4
Bellevue,5,2.5,2700,1750,1.0,1967,4
Seattle,4,2.5,2760,2230,2.0,1942,4
Snoqualmie,4,3.5,4000,4000,2.0,2007,4
Sammamish,4,2.5,3920,3920,2.0,1997,4
Newcastle,4,2.5,3070,3070,2.0,2005,4
Seattle,5,3.25,4500,3000,2.0,1968,4
Seattle,4,2.75,2840,1960,1.5,1912,4
Seattle,4,1.0,2550,2370,2.0,1905,4
Bellevue,5,3.5,3100,1660,1.0,1970,4
Bellevue,5,2.25,2370,2370,2.0,1981,4
Seattle,5,3.25,3160,2180,2.0,2005,4
Seattle,5,3.0,2620,2620,2.0,2009,4
Burien,3,4.5,4380,3720,2.0,1968,4
Woodinville,4,2.25,3310,3310,2.0,1924,4
Newcastle,4,1.75,3990,3990,2.0,2006,4
Bellevue,4,3.5,3770,2830,2.0,1989,4
Bellevue,4,3.5,4660,4660,2.0,2003,4
Bellevue,5,3.5,5850,4670,2.0,1978,4
Auburn,3,1.0,1310,960,1.0,1962,1
Renton,3,1.5,1220,1220,1.0,1968,1
Kent,3,1.75,1260,1260,1.0,1963,1
Burien,2,1.0,920,920,1.0,1950,1
Burien,2,1.0,720,720,1.0,1943,1
Renton,3,1.5,1090,1090,1.0,1967,1
Des Moines,2,1.75,1390,1390,1.0,1980,1
Auburn,3,1.0,1090,1090,1.5,1912,1
Auburn,3,1.5,1660,1660,2.0,1981,1
Auburn,4,1.5,1600,1600,1.0,1959,1
Black Diamond,3,1.75,1500,1500,1.0,2014,1
Burien,3,2.0,1700,970,1.0,1945,1
Auburn,2,1.75,1590,1590,1.0,1972,1
SeaTac,3,1.0,1060,1060,1.0,1956,1
Renton,4,2.0,1330,1330,1.0,1942,1
Seattle,4,1.0,1200,1200,1.5,1933,1
Issaquah,3,1.0,1140,1140,1.0,1981,1
Burien,3,1.0,1750,1150,1.0,1956,1
Federal Way,3,2.0,1900,1900,1.0,1991,1
Burien,4,1.0,1230,1230,1.5,1944,1
Federal Way,3,1.0,1640,1090,1.0,1954,1
Auburn,5,2.0,2080,1740,1.0,1959,1
Auburn,3,2.0,1470,1470,1.0,1968,1
Seattle,2,1.0,930,930,1.0,1924,1
Kent,3,2.5,1630,1120,1.0,1978,1
Kent,3,2.5,1650,1650,2.0,1991,1
Seattle,4,2.25,2600,1600,1.0,1965,1
Federal Way,3,1.75,1580,1580,1.0,1988,1
Kent,4,2.25,2070,2070,2.0,1977,1
Lake Forest Park,2,1.0,1010,1010,1.0,1975,1
Kent,4,2.25,2260,2260,2.0,1984,1
Burien,3,1.75,1570,1080,1.0,1956,1
Renton,3,2.25,1780,1780,1.0,1967,2
Renton,4,1.75,1530,1530,1.5,1968,2
Covington,4,2.5,2430,2430,2.0,2002,2
Kent,4,2.5,1940,1140,1.0,1977,2
